year    mon     day     Temp
    1979       1       1   288.2
    1979       1       2   285.5
    1979       1       3   283.4
    1979       1       4   288.2
    1979       1       5   286.8
    1979       1       6   287.2
    1979       1       7   287.3
    1979       1       8   288.9
    1979       1       9   285.9
    1979       1      10   283.6
    1979       1      11   286.7
    1979       1      12   287.8
    1979       1      13   286.5
    1979       1      14   284.3
    1979       1      15     284
    1979       1      16   283.1
    1979       1      17   282.7
    1979       1      18   287.2
    1979       1      19   290.4
    1979       1      20   286.7
    1979       1      21   286.4
    1979       1      22   288.4
    1979       1      23   286.5
    1979       1      24     286
    1979       1      25     287
    1979       1      26   286.8
    1979       1      27     290
    1979       1      28   289.3
    1979       1      29   283.7
    1979       1      30   284.4
    1979       1      31   283.8
    1979       2       1   285.9
    1979       2       2   289.1
    1979       2       3   288.2
    1979       2       4   287.8
    1979       2       5   290.3
    1979       2       6   289.6
    1979       2       7   289.9
    1979       2       8   289.7
    1979       2       9   291.8
    1979       2      10   291.6
    1979       2      11   289.2
    1979       2      12   286.1
    1979       2      13   287.1
    1979       2      14     286
    1979       2      15   284.7
    1979       2      16   280.2
    1979       2      17   279.6
    1979       2      18   282.4
    1979       2      19   284.8
    1979       2      20   283.7
    1979       2      21   284.8
    1979       2      22   284.4
    1979       2      23   283.3
    1979       2      24     281
    1979       2      25   279.1
    1979       2      26   280.3
    1979       2      27   282.4
    1979       2      28     283
    1979       3       1     281
    1979       3       2   281.5
    1979       3       3   282.9
    1979       3       4   284.3
    1979       3       5   286.6
    1979       3       6     287
    1979       3       7   287.1
    1979       3       8   287.8
    1979       3       9   287.6
    1979       3      10   287.2
    1979       3      11   289.2
    1979       3      12     290
    1979       3      13   289.9
    1979       3      14   289.6
    1979       3      15   283.4
    1979       3      16   284.3
    1979       3      17   286.4
    1979       3      18   286.5
    1979       3      19   286.8
    1979       3      20   284.8
    1979       3      21   284.6
    1979       3      22   284.4
    1979       3      23   288.1
    1979       3      24   289.6
    1979       3      25   292.3
    1979       3      26   292.5
    1979       3      27   287.9
    1979       3      28   286.2
    1979       3      29   284.3
    1979       3      30   283.4
    1979       3      31     283
    1979       4       1   284.5
    1979       4       2   286.1
    1979       4       3   286.7
    1979       4       4   287.2
    1979       4       5   287.3
    1979       4       6   287.3
    1979       4       7   288.4
    1979       4       8   289.3
    1979       4       9   291.6
    1979       4      10   289.3
    1979       4      11   286.2
    1979       4      12   286.7
    1979       4      13     290
    1979       4      14   286.9
    1979       4      15   286.4
    1979       4      16   288.3
    1979       4      17   288.9
    1979       4      18   287.6
    1979       4      19   284.7
    1979       4      20     286
    1979       4      21   288.1
    1979       4      22     290
    1979       4      23     293
    1979       4      24     291
    1979       4      25   287.2
    1979       4      26   288.1
    1979       4      27   285.6
    1979       4      28   284.4
    1979       4      29   286.8
    1979       4      30     287
    1979       5       1     289
    1979       5       2   292.4
    1979       5       3   292.6
    1979       5       4   290.1
    1979       5       5   288.3
    1979       5       6     287
    1979       5       7   287.9
    1979       5       8   289.1
    1979       5       9   288.5
    1979       5      10   288.5
    1979       5      11   289.4
    1979       5      12   291.5
    1979       5      13     293
    1979       5      14   291.7
    1979       5      15   290.6
    1979       5      16   294.1
    1979       5      17   297.9
    1979       5      18   297.6
    1979       5      19   291.3
    1979       5      20     289
